file_name,gamma,t_half_2,t_half_3,converged,iterations,objective_value
bs_180218_160131.csv,2.38143913333,5.59319243278,33.8559697398,True,74,141.857537127
bs_180218_160135.csv,1.95812554802,3.90500095717,29.5229244562,True,74,169.824623392
bs_180218_160140.csv,1.97228588782,3.99027043537,26.2781608629,True,59,151.932632724
bs_180218_160144.csv,2.47945956489,4.89873779247,39.9071458481,True,90,160.166719587
bs_180218_160150.csv,2.1068709066,4.74374798293,34.1187442983,True,72,167.576644766
bs_180218_160155.csv,2.01901160054,3.76424916209,26.5696705101,True,85,165.120014504
bs_180218_160201.csv,1.97262753396,4.10651627861,33.4416736302,True,70,176.09296576
bs_180218_160206.csv,2.07853953674,4.63348980373,31.5886151038,True,59,153.547372755
bs_180218_160210.csv,2.04180593929,4.06009908808,28.2065467981,True,66,164.10541022
bs_180218_160214.csv,2.09354211624,4.45513578808,28.2569094317,True,58,162.08907856
bs_180218_160218.csv,1.93343046789,3.96365444155,28.6202120603,True,64,159.602516333
bs_180218_160222.csv,2.16048610433,4.52849433883,28.2931534579,True,63,167.654938169
bs_180218_160226.csv,2.17831938485,4.61116081144,32.0785422878,True,61,152.622405029
bs_180218_160230.csv,1.97018151962,3.79756943431,26.3142456036,True,76,169.099087464
bs_180218_160235.csv,2.23905168151,4.62824048905,35.240255411,True,84,154.478455142
bs_180218_160241.csv,1.89639519198,3.6648590109,33.2797364298,True,68,176.574352695
bs_180218_160246.csv,1.83145239039,3.9953124295,31.7792448283,True,57,165.257068093
bs_180218_160249.csv,2.28007251103,4.60042770107,38.3103683586,True,70,165.02347583
bs_180218_160254.csv,1.95882279264,3.64698676381,26.5299010746,True,89,169.62650974
bs_180218_160300.csv,2.24653075663,4.48065050316,27.6300815074,True,59,156.019254625
bs_180218_160304.csv,2.00914184259,3.57871440893,29.8900538337,True,65,165.359451974
bs_180218_160309.csv,2.02962391047,3.66096268124,28.1567215295,True,53,168.839633836
bs_180218_160313.csv,2.47292464669,4.83967455353,32.7608359279,True,66,151.1188495
bs_180218_160318.csv,2.66966292567,5.32056754949,33.4969499772,True,53,151.231046311
bs_180218_160322.csv,2.21383943241,4.76609032929,30.7011029835,True,66,162.475938584
bs_180218_160327.csv,2.26735098712,4.40866688996,32.0704568947,True,63,160.750109365
bs_180218_160331.csv,2.35983979138,4.42383874051,32.628588026,True,61,153.147242536
bs_180218_160335.csv,2.20865205147,4.74304543702,29.5932208421,True,66,155.564480613
bs_180218_160340.csv,1.91070219753,4.29619421027,35.9569713556,True,63,163.631091657
bs_180218_160344.csv,2.59127257037,4.90523072757,32.6401934059,True,75,166.135442049
bs_180218_160350.csv,2.08269965049,4.42192206639,29.5791484593,True,78,162.206490094
bs_180218_160355.csv,2.62444624212,4.34786497466,34.1247116199,True,69,151.9879116
bs_180218_160400.csv,2.37889861342,4.83077880296,31.84213943,True,58,158.752790767
bs_180218_160404.csv,2.32770401619,5.17964615318,32.5213150973,True,57,156.08624839
bs_180218_160408.csv,2.00267821331,4.31484305912,32.1253709822,True,61,165.322229819
bs_180218_160412.csv,2.18196556658,4.70136323059,29.28006832,True,63,167.310531993
bs_180218_160417.csv,1.99519811697,4.03544301013,34.7889529294,True,65,177.647757561
bs_180218_160421.csv,2.52302813848,4.98468621945,32.0482971038,True,71,155.274352379
bs_180218_160426.csv,1.82855496717,3.84464703528,37.3166260443,True,77,159.661327533
bs_180218_160431.csv,2.09751220061,4.04512480546,27.2005851729,True,77,169.193808838
bs_180218_160436.csv,2.15612222881,3.81922007266,25.7754227239,True,69,160.422141248
